Dataset,Model,Mean_Accuracy,Std_Accuracy,Mean_F1_Score,Std_F1_Score,Mean_Precision,Std_Precision,Mean_Recall,Std_Recall,Mean_AUC_ROC,Std_AUC_ROC,Threshold_Median,Threshold_Std,Sensitivity,Specificity,Balanced_Recall,Std_Balanced_Recall,Youden_J,F2_Score
Autism Screening,LR,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Autism Screening,RF,0.956,0.0069,0.9437,0.0087,0.9464,0.011,0.9414,0.0098,0.9933,0.0029,0.5,0.0,0.91,0.9728,0.9414,0.0098,0.8828,0.9128
Autism Screening,FNN,0.9787,0.0045,0.9732,0.0058,0.9668,0.0063,0.9804,0.0066,0.9984,0.0011,0.35,0.0,0.9841,0.9767,0.9804,0.0066,0.9608,0.9748
OASIS Alzheimer's,LR,0.8015,0.0264,0.7947,0.022,0.814,0.0303,0.7945,0.0199,0.9116,0.016,0.5441,0.2037,0.8288,0.9291,0.879,0.0193,0.7579,0.8308
OASIS Alzheimer's,RF,0.8069,0.0209,0.7998,0.0183,0.8159,0.0267,0.7983,0.0201,0.8643,0.0287,0.4829,0.2218,0.7622,0.9614,0.8618,0.0776,0.7236,0.7792
OASIS Alzheimer's,FNN,0.7828,0.0293,0.7709,0.0284,0.8054,0.047,0.7704,0.0283,0.8648,0.0496,0.825,0.2524,0.8642,0.882,0.8731,0.0755,0.7462,0.8575
OASIS Alzheimer's (Non-Invasive),LR,0.783,0.0301,0.7748,0.0269,0.8003,0.0198,0.778,0.022,0.8945,0.019,0.5247,0.2378,0.8494,0.8962,0.8728,0.0505,0.7456,0.8378
OASIS Alzheimer's (Non-Invasive),RF,0.7745,0.0642,0.7594,0.0614,0.8122,0.0593,0.7609,0.0511,0.8644,0.0282,0.6744,0.2453,0.8169,0.8952,0.8561,0.0605,0.7121,0.815
OASIS Alzheimer's (Non-Invasive),FNN,0.7908,0.019,0.778,0.0137,0.814,0.0387,0.7746,0.0148,0.8758,0.0356,0.7528,0.2552,0.8294,0.9263,0.8779,0.0555,0.7558,0.8217
Parkinson's (Sakar),LR,0.7404,0.0668,0.6921,0.0686,0.6885,0.0657,0.7193,0.0642,0.8029,0.0668,0.7773,0.1346,0.7901,0.875,0.8326,0.0464,0.6651,0.8151
Parkinson's (Sakar),RF,0.7301,0.0978,0.6926,0.0901,0.6993,0.0739,0.7327,0.0658,0.8329,0.0783,0.8273,0.1436,0.796,0.9139,0.855,0.0432,0.7099,0.8224
Parkinson's (Sakar),FNN,0.7277,0.0651,0.6832,0.0554,0.6847,0.0435,0.7171,0.0358,0.8105,0.0508,0.8673,0.1266,0.8396,0.9361,0.8879,0.0527,0.7757,0.8611
